hid,type_name,variant,question,answer,y_true,y_pred,judge_raw,correct
cmexam_7967,机制/通路误归因,unfaithful,回力卡环具有应力中断作用,回力卡环的应力中断作用是通过其弹性卡臂在受力时发生形变，吸收并分散咬合力，从而避免力直接作用于基牙来实现的。,1,1,1,1
cmexam_50112,信息不全,faithful,粉末生化，升华物白色柱形，菱形结晶的是,针对问题「粉末生化，升华物白色柱形，菱形结晶的是」，正确答案是：斑蝥。,0,0,0,1
cmexam_50112,信息不全,unfaithful,粉末生化，升华物白色柱形，菱形结晶的是,粉末生化，升华物呈白色柱形或菱形结晶是斑蝥素的典型特征，这是鉴别斑蝥的有效方法。,1,0,0,0
cmexam_43979,信息不全,faithful,氯丙嗪的临床应用包括,针对问题「氯丙嗪的临床应用包括」，正确答案是：精神分裂症；低温麻醉；顽固性呃逆。,0,0,0,1
cmexam_43979,信息不全,unfaithful,氯丙嗪的临床应用包括,氯丙嗪的临床应用包括治疗精神分裂症、低温麻醉以及顽固性呃逆，是一种安全且广泛适用的药物。,1,0,0,0
cmexam_12686,捏造指南/引用,faithful,疝内容物经回纳后，压住腹股沟管内环，肿块不出现的是,针对问题「疝内容物经回纳后，压住腹股沟管内环，肿块不出现的是」，正确答案是：腹股沟斜疝。,0,0,0,1
cmexam_12686,捏造指南/引用,unfaithful,疝内容物经回纳后，压住腹股沟管内环，肿块不出现的是,根据《2023 疝与腹壁外科诊疗指南》第 5.2 条，该体征是诊断腹股沟斜疝的核心依据。,1,1,1,1
cmexam_5668,捏造指南/引用,faithful,人体氟可来源于,针对问题「人体氟可来源于」，正确答案是：以上说法均正确。,0,0,0,1
cmexam_5668,捏造指南/引用,unfaithful,人体氟可来源于,根据《2023 中国居民膳食氟参考摄入量指南》第 5.2 条，人体氟仅来源于特定强化食品。,1,1,1,1
cmexam_7936,过度断言,faithful,Ⅰ度松动的牙松动方向是,针对问题「Ⅰ度松动的牙松动方向是」，正确答案是：仅有唇（颊）舌向松动。,0,0,0,1
cmexam_7936,过度断言,unfaithful,Ⅰ度松动的牙松动方向是,Ⅰ度松动的牙仅表现为唇（颊）舌向松动，这一定律在所有临床情境下都绝对成立。,1,0,0,0
cmexam_51750,捏造指南/引用,faithful,有无证候禁忌是处方审核的一项重要内容。医生为患有高血压、不寐、多汗的病人开具了包含上述中药的处方，执业药师在审核时应告知医生。高血压及失眠患者慎用,针对问题「有无证候禁忌是处方审核的一项重要内容。医生为患有高血压、不寐、多汗的病人开具了包含上述中药的处方，执业药师在审核时应告知医生。高血压及失眠患者慎用」，正确答案是：麻黄。,0,0,0,1
cmexam_51750,捏造指南/引用,unfaithful,有无证候禁忌是处方审核的一项重要内容。医生为患有高血压、不寐、多汗的病人开具了包含上述中药的处方，执业药师在审核时应告知医生。高血压及失眠患者慎用,根据《2023年中国药典临床用药须知》第5.2.3条，高血压及失眠患者应禁用麻黄，因其可显著升高血压并加重中枢兴奋。执业药师审核时需明确告知此禁忌。,1,1,1,1
cmexam_38191,机制/通路误归因,faithful,男，25岁。低热、咳嗽、咽部不适2周。胸部X线示双肺下部网状及按小叶分布的斑片状浸润阴影。最可能感染的病原体是,针对问题「男，25岁。低热、咳嗽、咽部不适2周。胸部X线示双肺下部网状及按小叶分布的斑片状浸润阴影。最可能感染的病原体是」，正确答案是：肺炎支原体。,0,0,0,1
cmexam_38191,机制/通路误归因,unfaithful,男，25岁。低热、咳嗽、咽部不适2周。胸部X线示双肺下部网状及按小叶分布的斑片状浸润阴影。最可能感染的病原体是,该患者最可能感染的病原体是肺炎支原体，其典型胸片改变是由于支原体直接侵入肺泡上皮细胞，导致细胞坏死崩解，从而形成斑片状浸润阴影。,1,0,0,0
