# WS5 退化审计 (全 51 变体): 只列 is_degenerate=True 的 (工具,变体,患者) 三元组
# 源=data/frozen/pooled_clean_9mer.csv; 判据 |ρ|>0.999 且 n_eff<=4
# n_eff=患者内该列与 Elispot 均非空点数; n_full=患者总肽数; non_null_total=该列全表覆盖
tool,pooling,patient,n_full,n_eff,rho,non_null_total,is_degenerate
HLAthena,rankdecay_g20,101,12,3,1.0,121,True
NetTepi,max,102,8,3,-1.0,125,True
NetTepi,topk_k1_a0,102,8,3,-1.0,125,True
NetTepi,topk_k1_a0p5,102,8,3,-1.0,125,True
NetTepi,topk_k1_a1,102,8,3,-1.0,125,True
NetTepi,topk_k1_a2,102,8,3,-1.0,125,True
NetTepi,topk_k2_a0,102,8,3,-1.0,125,True
NetTepi,topk_k2_a0p5,102,8,3,-1.0,125,True
NetTepi,topk_k2_a1,102,8,3,-1.0,125,True
NetTepi,topk_k2_a2,102,8,3,-1.0,125,True
NetTepi,topk_k3_a1,102,8,3,-1.0,125,True
NetTepi,topk_k3_a2,102,8,3,-1.0,125,True
NetTepi,topk_k5_a1,102,8,3,-1.0,125,True
NetTepi,topk_k5_a2,102,8,3,-1.0,125,True
NetTepi,topk_k8_a1,102,8,3,-1.0,125,True
NetTepi,topk_k8_a2,102,8,3,-1.0,125,True
NetTepi,topk_k10_a0p5,102,8,3,-1.0,125,True
NetTepi,topk_k10_a1,102,8,3,-1.0,125,True
NetTepi,topk_k10_a2,102,8,3,-1.0,125,True
NetTepi,topk_k20_a0,102,8,3,-1.0,125,True
NetTepi,topk_k20_a0p5,102,8,3,-1.0,125,True
NetTepi,topk_k20_a1,102,8,3,-1.0,125,True
NetTepi,topk_k20_a2,102,8,3,-1.0,125,True
NetTepi,topk_k50_a0,102,8,3,-1.0,125,True
NetTepi,topk_k50_a0p5,102,8,3,-1.0,125,True
NetTepi,topk_k50_a1,102,8,3,-1.0,125,True
NetTepi,topk_k50_a2,102,8,3,-1.0,125,True
NetTepi,topk_k100_a0,102,8,3,-1.0,125,True
NetTepi,topk_k100_a0p5,102,8,3,-1.0,125,True
NetTepi,topk_k100_a1,102,8,3,-1.0,125,True
NetTepi,topk_k100_a2,102,8,3,-1.0,125,True
NetTepi,softmax_T0p03,102,8,3,-1.0,125,True
NetTepi,softmax_T0p05,102,8,3,-1.0,125,True
NetTepi,softmax_T0p1,102,8,3,-1.0,125,True
NetTepi,softmax_T0p2,102,8,3,-1.0,125,True
NetTepi,softmax_T0p5,102,8,3,-1.0,125,True
NetTepi,softmax_T1,102,8,3,-1.0,125,True
NetTepi,softmax_T2,102,8,3,-1.0,125,True
NetTepi,rankdecay_g1,102,8,3,-1.0,125,True
NetTepi,rankdecay_g1p5,102,8,3,-1.0,125,True
NetTepi,rankdecay_g2,102,8,3,-1.0,125,True
NetTepi,rankdecay_g3,102,8,3,-1.0,125,True
NetTepi,rankdecay_g5,102,8,3,-1.0,125,True
NetTepi,rankdecay_g10,102,8,3,-1.0,125,True
NetTepi,rankdecay_g20,102,8,3,-1.0,125,True
